name,company,image,for_gender,rating,number_votes,main accords ,sillage,top notes,middle notes,base notes,longevity,,gender_vote,price value,,,,,,,,seasons,main accords old
By the Fireplace,Maison Martin Margiela,https://fimgs.net/mdimg/perfume/375x500.31623.jpg,for women and men,4.35,3464,"woody , vanilla , balsamic , amber , warm spicy , powdery , nutty , musky ",moderate,"['Cloves', 'Pink Pepper', 'Orange Blossom']","['Chestnut', 'Guaiac Wood', 'Juniper']","['Vanilla', 'Peru Balsam', 'Cashmeran']","{'very weak': 71, 'weak': 80, 'moderate': 335, 'long lasting': 572, 'eternal': 177}",,"{'female': 12, 'more female': 47, 'unisex': 286, 'more male': 77, 'male': 25}","{'way overpriced': 16, 'overpriced': 86, 'ok': 215, 'good value': 50, 'great value': 13}",,,,,,,,winter,"{'woody': 100.0, 'vanilla': 76.8611, 'balsamic': 76.0794, 'amber': 62.9031, 'warm spicy': 62.6432, 'powdery': 57.6745, 'nutty': 54.0916, 'musky': 44.8059}"
Hacivat,Nishane,https://fimgs.net/mdimg/perfume/375x500.44174.jpg,for women and men,4.44,1344,"woody , citrus , mossy , fruity , sweet , earthy , fresh spicy , tropical , aromatic , patchouli ",enormous,"['Pineapple', 'Grapefruit', 'Bergamot']","['Cedar', 'Patchouli', 'Jasmine']","['Oakmoss', 'Woody Notes']","{'very weak': 56, 'weak': 43, 'moderate': 72, 'long lasting': 229, 'eternal': 585}",,"{'female': 3, 'more female': 2, 'unisex': 66, 'more male': 115, 'male': 99}","{'way overpriced': 39, 'overpriced': 99, 'ok': 99, 'good value': 38, 'great value': 9}",,,,,,,,summer,"{'woody': 100.0, 'citrus': 93.7663, 'mossy': 74.9663, 'fruity': 73.2402, 'sweet': 68.4357, 'earthy': 68.3807, 'fresh spicy': 54.8029, 'tropical': 54.0223, 'aromatic': 47.3928, 'patchouli': 47.2609}"
Herod,Parfums de Marly,https://fimgs.net/mdimg/perfume/375x500.16939.jpg,for men,4.49,3544,"tobacco , vanilla , warm spicy , cinnamon , sweet , amber , woody , powdery , musky , fruity ",moderate,"['Cinnamon', 'Pepper']","['Tobacco Leaf', 'Incense', 'Osmanthus', 'Labdanum']","['Vanilla', 'Iso E Super', 'Musk', 'Cedar', 'Cypriol Oil or Nagarmotha', 'Vetiver']","{'very weak': 102, 'weak': 126, 'moderate': 335, 'long lasting': 787, 'eternal': 416}",,"{'female': 7, 'more female': 6, 'unisex': 105, 'more male': 141, 'male': 113}","{'way overpriced': 37, 'overpriced': 131, 'ok': 120, 'good value': 32, 'great value': 16}",,,,,,,,winter,"{'tobacco': 100.0, 'vanilla': 95.0157, 'warm spicy': 89.0454, 'cinnamon': 82.7465, 'sweet': 80.5282, 'amber': 75.8013, 'woody': 70.8224, 'powdery': 58.2629, 'musky': 57.0798, 'fruity': 55.7543}"
Mon Guerlain,Guerlain,https://fimgs.net/mdimg/perfume/375x500.43297.jpg,for women,4.02,8239,"vanilla , woody , lavender , aromatic , powdery , balsamic , sweet , warm spicy , fresh spicy , iris ",moderate,"['Lavender', 'Bergamot']","['iris', 'Jasmine Sambac', 'Rose']","['Tahitian Vanilla', 'Coumarin', 'Australian Sandalwood', 'Benzoin', 'Licorice', 'Patchouli']","{'very weak': 210, 'weak': 279, 'moderate': 960, 'long lasting': 859, 'eternal': 391}",,"{'female': 402, 'more female': 81, 'unisex': 33, 'more male': 1, 'male': 1}","{'way overpriced': 19, 'overpriced': 88, 'ok': 271, 'good value': 65, 'great value': 6}",,,,,,,,fall,"{'vanilla': 100.0, 'woody': 69.2405, 'lavender': 68.872, 'aromatic': 67.9797, 'powdery': 63.301, 'balsamic': 59.0353, 'sweet': 59.0209, 'warm spicy': 52.655, 'fresh spicy': 47.8729, 'iris': 46.8772}"
Delina,Parfums de Marly,https://fimgs.net/mdimg/perfume/375x500.43871.jpg,for women,4.13,2325,"rose , floral , fresh , fruity , musky , green , aromatic , tropical , powdery , woody ",strong,"['Litchi', 'Rhubarb', 'Bergamot', 'Nutmeg']","['Turkish Rose', 'Peony', 'Musk', 'Petalia', 'Vanilla']","['Cashmeran', 'Cedar', 'Haitian Vetiver', 'Incense']","{'very weak': 56, 'weak': 81, 'moderate': 190, 'long lasting': 318, 'eternal': 310}",,"{'female': 267, 'more female': 20, 'unisex': 4, 'more male': 2, 'male': 3}","{'way overpriced': 112, 'overpriced': 103, 'ok': 56, 'good value': 11, 'great value': 6}",,,,,,,,spring and summer,"{'rose': 100.0, 'floral': 94.1626, 'fresh': 84.2662, 'fruity': 83.0169, 'musky': 57.9651, 'green': 56.8467, 'aromatic': 56.0829, 'tropical': 54.2881, 'powdery': 53.8898, 'woody': 53.5843}"
Red Tobacco,Mancera,https://fimgs.net/mdimg/perfume/375x500.46663.jpg,for women and men,4.13,1836,"warm spicy , tobacco , woody , sweet , vanilla , amber , cinnamon , oud , powdery , fruity ",strong,"['Cinnamon', 'Agarwood (Oud)', 'Saffron', 'Incense', 'Nutmeg', 'Green Apple', 'White Pear']","['Patchouli', 'Jasmine']","['Tobacco', 'Madagascar Vanilla', 'Amber', 'Sandalwood', 'Guaiac Wood', 'White Musk', 'Haitian Vetiver']","{'very weak': 54, 'weak': 47, 'moderate': 85, 'long lasting': 350, 'eternal': 699}",,"{'female': 10, 'more female': 11, 'unisex': 151, 'more male': 168, 'male': 169}","{'way overpriced': 14, 'overpriced': 36, 'ok': 203, 'good value': 137, 'great value': 70}",,,,,,,,fall and winter,"{'warm spicy': 100.0, 'tobacco': 97.255, 'woody': 78.933, 'sweet': 75.4138, 'vanilla': 67.6653, 'amber': 65.6783, 'cinnamon': 64.6329, 'oud': 60.9622, 'powdery': 59.1028, 'fruity': 57.822}"
Baccarat Rouge 540 Extrait de Parfum,Maison Francis Kurkdjian,https://fimgs.net/mdimg/perfume/375x500.46066.jpg,for women and men,4.28,2370,"amber , almond , woody , warm spicy , animalic , nutty , fruity , musky , white floral , sweet ",strong,"['Bitter Almond', 'Saffron']","['Egyptian Jasmine', 'Cedar']","['Ambergris', 'Musk', 'Woody Notes']","{'very weak': 63, 'weak': 52, 'moderate': 116, 'long lasting': 257, 'eternal': 594}",,"{'female': 81, 'more female': 84, 'unisex': 192, 'more male': 15, 'male': 8}","{'way overpriced': 181, 'overpriced': 93, 'ok': 60, 'good value': 20, 'great value': 16}",,,,,,,,fall and winter,"{'amber': 100.0, 'almond': 97.7462, 'woody': 86.6099, 'warm spicy': 80.0341, 'animalic': 78.3172, 'nutty': 70.6477, 'fruity': 63.8731, 'musky': 61.8182, 'white floral': 60.8902, 'sweet': 56.893}"
Aura Mugler,Mugler,https://fimgs.net/mdimg/perfume/375x500.45639.jpg,for women,3.63,5716,"green , woody , vanilla , sweet , fruity , aromatic , white floral , citrus , powdery ",strong,"['Rhubarb Leaf', 'Bergamot']","['Green Notes', 'Orange Blossom', 'Ylang-Ylang', 'Pear']","['Bourbon Vanilla', 'Woody Notes', 'Amberwood', 'Sandalwood', 'Coumarin']","{'very weak': 90, 'weak': 122, 'moderate': 446, 'long lasting': 742, 'eternal': 385}",,"{'female': 162, 'more female': 102, 'unisex': 88, 'more male': 7, 'male': 1}","{'way overpriced': 7, 'overpriced': 44, 'ok': 175, 'good value': 58, 'great value': 10}",,,,,,,,spring and summer,"{'green': 100.0, 'woody': 83.7937, 'vanilla': 79.2484, 'sweet': 73.8537, 'fruity': 63.2581, 'aromatic': 59.9731, 'white floral': 58.7402, 'citrus': 52.5367, 'powdery': 48.7833}"
Black Phantom,By Kilian,https://fimgs.net/mdimg/perfume/375x500.43632.jpg,for women and men,4.27,2146,"sweet , warm spicy , caramel , coffee , chocolate , rum , woody , almond , powdery , vanilla ",enormous,[],"['Dark Chocolate', 'Rum', 'Caramel', 'Coffee', 'Sugar Cane', 'Almond', 'Sandalwood', 'Heliotrope']",[],"{'very weak': 68, 'weak': 70, 'moderate': 191, 'long lasting': 316, 'eternal': 422}",,"{'female': 14, 'more female': 21, 'unisex': 167, 'more male': 95, 'male': 38}","{'way overpriced': 69, 'overpriced': 93, 'ok': 75, 'good value': 46, 'great value': 6}",,,,,,,,winter,"{'sweet': 100.0, 'warm spicy': 92.2229, 'caramel': 71.3151, 'coffee': 68.8129, 'chocolate': 66.5435, 'rum': 64.309, 'woody': 61.6613, 'almond': 59.4734, 'powdery': 46.9857, 'vanilla': 46.5319}"
Girl of Now,Elie Saab,https://fimgs.net/mdimg/perfume/375x500.45686.jpg,for women,4.01,2624,"almond , sweet , nutty , fruity , woody , citrus , amber , vanilla , floral , white floral ",moderate,"['Pistachio', 'Pear', 'Mandarin Orange']","['Almond', 'Orange Blossom', 'Magnolia']","['Almond Milk', 'Tonka Bean', 'Cashmeran', 'Patchouli']","{'very weak': 58, 'weak': 95, 'moderate': 273, 'long lasting': 441, 'eternal': 156}",,"{'female': 216, 'more female': 16, 'unisex': 6, 'more male': 1, 'male': 0}","{'way overpriced': 6, 'overpriced': 34, 'ok': 96, 'good value': 80, 'great value': 12}",,,,,,,,fall and winter,"{'almond': 100.0, 'sweet': 91.6913, 'nutty': 90.7965, 'fruity': 85.8935, 'woody': 79.3774, 'citrus': 63.1252, 'amber': 60.453, 'vanilla': 58.7609, 'floral': 56.0522, 'white floral': 55.8087}"
Light Blue Eau Intense Pour Homme,Dolce&Gabbana,https://fimgs.net/mdimg/perfume/375x500.44035.jpg,for men,4.17,2083,"aromatic , citrus , marine , fresh spicy , woody , salty , amber , musky , aquatic ",moderate,"['Grapefruit', 'Mandarin Orange']","['Sea water', 'Juniper']","['Amberwood', 'Musk']","{'very weak': 76, 'weak': 92, 'moderate': 316, 'long lasting': 676, 'eternal': 107}",,"{'female': 2, 'more female': 1, 'unisex': 18, 'more male': 90, 'male': 147}","{'way overpriced': 6, 'overpriced': 37, 'ok': 120, 'good value': 65, 'great value': 12}",,,,,,,,summer,"{'aromatic': 100.0, 'citrus': 97.2181, 'marine': 86.803, 'fresh spicy': 64.6437, 'woody': 60.5188, 'salty': 52.7212, 'amber': 47.5411, 'musky': 47.3355, 'aquatic': 47.0409}"
Scandal,Jean Paul Gaultier,https://fimgs.net/mdimg/perfume/375x500.45651.jpg,for women,3.78,3088,"honey , sweet , white floral , citrus , patchouli , caramel , animalic , beeswax , floral , woody ",strong,"['Blood Orange', 'Mandarin Orange']","['Honey', 'Gardenia', 'Orange Blossom', 'Jasmine', 'Peach']","['Beeswax', 'Patchouli', 'Caramel', 'Licorice']","{'very weak': 39, 'weak': 79, 'moderate': 228, 'long lasting': 459, 'eternal': 356}",,"{'female': 217, 'more female': 24, 'unisex': 3, 'more male': 2, 'male': 0}","{'way overpriced': 10, 'overpriced': 35, 'ok': 121, 'good value': 38, 'great value': 3}",,,,,,,,fall and winter,"{'honey': 100.0, 'sweet': 78.1837, 'white floral': 68.5579, 'citrus': 60.0998, 'patchouli': 53.7305, 'caramel': 52.2581, 'animalic': 52.1091, 'beeswax': 50.8747, 'floral': 48.2688, 'woody': 46.8477}"
Fucking Fabulous,Tom Ford,https://fimgs.net/mdimg/perfume/375x500.46513.jpg,for women and men,3.74,2372,"aromatic , vanilla , leather , almond , amber , sweet , woody , lavender , powdery , nutty ",moderate,"['Clary Sage', 'Lavender']","['Bitter Almond', 'Leather', 'Vanilla', 'Orris']","['Leather', 'Tonka Bean', 'Cashmeran', 'White Woods', 'Amber']","{'very weak': 143, 'weak': 94, 'moderate': 244, 'long lasting': 351, 'eternal': 145}",,"{'female': 6, 'more female': 13, 'unisex': 161, 'more male': 74, 'male': 23}","{'way overpriced': 122, 'overpriced': 77, 'ok': 29, 'good value': 13, 'great value': 6}",,,,,,,,spring,"{'aromatic': 100.0, 'vanilla': 91.4561, 'leather': 91.1555, 'almond': 87.84, 'amber': 79.0319, 'sweet': 78.1028, 'woody': 72.8107, 'lavender': 70.8979, 'powdery': 70.6884, 'nutty': 64.704}"
Gucci Guilty Absolute,Gucci,https://fimgs.net/mdimg/perfume/375x500.43040.jpg,for men,4.01,2893,"woody , leather , aromatic , animalic , earthy , patchouli , smoky ",moderate,['Leather'],"['Cypress', 'Patchouli']","['Woody Notes', 'Vetiver']","{'very weak': 83, 'weak': 86, 'moderate': 351, 'long lasting': 597, 'eternal': 332}",,"{'female': 1, 'more female': 0, 'unisex': 47, 'more male': 38, 'male': 289}","{'way overpriced': 13, 'overpriced': 19, 'ok': 126, 'good value': 109, 'great value': 85}",,,,,,,,fall and winter,"{'woody': 100.0, 'leather': 79.299, 'aromatic': 58.6796, 'animalic': 54.6495, 'earthy': 49.2421, 'patchouli': 47.2678, 'smoky': 44.7897}"
Gucci Bloom,Gucci,https://fimgs.net/mdimg/perfume/375x500.44894.jpg,for women,3.77,3783,"white floral , tuberose ",moderate,['Jasmine'],['Tuberose'],['Rangoon creeper'],"{'very weak': 98, 'weak': 103, 'moderate': 418, 'long lasting': 378, 'eternal': 140}",,"{'female': 161, 'more female': 23, 'unisex': 14, 'more male': 0, 'male': 1}","{'way overpriced': 18, 'overpriced': 31, 'ok': 96, 'good value': 14, 'great value': 9}",,,,,,,,spring and summer,"{'white floral': 100.0, 'tuberose': 62.2714}"
Luna Rossa Carbon,Prada,https://fimgs.net/mdimg/perfume/375x500.43402.jpg,for men,4.27,1929,"fresh spicy , amber , lavender , aromatic , mineral , metallic , citrus , musky , woody , earthy ",moderate,"['Bergamot', 'Pepper']","['Lavender', 'Metallic notes', 'Coal', 'Watery Notes', 'Soil tincture']","['Ambroxan', 'Patchouli']","{'very weak': 64, 'weak': 81, 'moderate': 327, 'long lasting': 521, 'eternal': 98}",,"{'female': 1, 'more female': 0, 'unisex': 11, 'more male': 41, 'male': 182}","{'way overpriced': 5, 'overpriced': 11, 'ok': 91, 'good value': 106, 'great value': 8}",,,,,,,,fall and winter,"{'fresh spicy': 100.0, 'amber': 96.799, 'lavender': 90.686, 'aromatic': 82.4611, 'mineral': 78.4154, 'metallic': 75.6812, 'citrus': 74.014, 'musky': 70.0794, 'woody': 59.0759, 'earthy': 56.4529}"
Light Blue Eau Intense,Dolce&Gabbana,https://fimgs.net/mdimg/perfume/375x500.44034.jpg,for women,4.17,1932,"citrus , musky , fresh , fruity , aromatic , amber , powdery , woody , green , white floral ",moderate,"['Lemon', 'Granny Smith apple']","['Marigold', 'Jasmine']","['Musk', 'Amberwood']","{'very weak': 58, 'weak': 78, 'moderate': 303, 'long lasting': 293, 'eternal': 78}",,"{'female': 57, 'more female': 36, 'unisex': 74, 'more male': 7, 'male': 1}","{'way overpriced': 6, 'overpriced': 17, 'ok': 77, 'good value': 35, 'great value': 9}",,,,,,,,summer,"{'citrus': 100.0, 'musky': 76.0369, 'fresh': 70.0909, 'fruity': 68.6591, 'aromatic': 65.1988, 'amber': 54.8579, 'powdery': 53.0185, 'woody': 49.8864, 'green': 49.3295, 'white floral': 49.2898}"
Emporio Armani Stronger With You,Giorgio Armani,https://fimgs.net/mdimg/perfume/375x500.45258.jpg,for men,4.01,2359,"warm spicy , vanilla , aromatic , sweet , woody , soft spicy , fruity , amber , ozonic , balsamic ",strong,"['Cardamom', 'Pink Pepper', 'Mint', 'Violet Leaf']","['Pineapple', 'Sage', 'Melon', 'Cinnamon', 'Lavender']","['Vanilla', 'Chestnut', 'Cedar', 'Amberwood', 'Guaiac Wood']","{'very weak': 64, 'weak': 65, 'moderate': 210, 'long lasting': 671, 'eternal': 167}",,"{'female': 3, 'more female': 4, 'unisex': 36, 'more male': 114, 'male': 90}","{'way overpriced': 4, 'overpriced': 30, 'ok': 111, 'good value': 64, 'great value': 11}",,,,,,,,fall and winter,"{'warm spicy': 100.0, 'vanilla': 89.2723, 'aromatic': 78.4256, 'sweet': 69.8005, 'woody': 69.3085, 'soft spicy': 61.0525, 'fruity': 57.0415, 'amber': 56.5971, 'ozonic': 54.9427, 'balsamic': 53.0821}"
Artisan Pure,John Varvatos,https://fimgs.net/mdimg/perfume/375x500.46623.jpg,for men,4.28,1562,"citrus , aromatic , fresh spicy , herbal ",moderate,"['Clementine', 'Mandarin Orange', 'Lemon', 'Bergamot', 'Thyme', 'Marjoram']","['Petitgrain', 'Ginger']","['Woody Notes', 'Musk', 'Orris Root', 'Amber']","{'very weak': 76, 'weak': 153, 'moderate': 417, 'long lasting': 158, 'eternal': 39}",,"{'female': 1, 'more female': 1, 'unisex': 41, 'more male': 92, 'male': 55}","{'way overpriced': 0, 'overpriced': 11, 'ok': 49, 'good value': 92, 'great value': 20}",,,,,,,,summer,"{'citrus': 100.0, 'aromatic': 59.4755, 'fresh spicy': 51.7128, 'herbal': 47.0864}"
Prada L'Homme Intense,Prada,https://fimgs.net/mdimg/perfume/375x500.45396.jpg,for men,4.44,1449,"iris , amber , powdery , woody , leather , earthy , violet , vanilla , warm spicy , animalic ",moderate,['iris'],"['Amber', 'Patchouli']","['Tonka Bean', 'Leather', 'Sandalwood']","{'very weak': 39, 'weak': 50, 'moderate': 160, 'long lasting': 419, 'eternal': 168}",,"{'female': 3, 'more female': 0, 'unisex': 36, 'more male': 75, 'male': 84}","{'way overpriced': 7, 'overpriced': 24, 'ok': 92, 'good value': 42, 'great value': 5}",,,,,,,,spring and summer,"{'iris': 100.0, 'amber': 87.0031, 'powdery': 86.5069, 'woody': 79.2913, 'leather': 72.7119, 'earthy': 68.8721, 'violet': 65.0, 'vanilla': 62.9939, 'warm spicy': 60.6102, 'animalic': 58.0431}"
Black Perfecto by La Petite Robe Noire,Guerlain,https://fimgs.net/mdimg/perfume/375x500.45017.jpg,for women,3.95,2271,"sweet , cherry , almond , nutty , leather , rose , fruity , soft spicy , animalic , patchouli ",moderate,"['Sour Cherry', 'Almond', 'Black Tea']","['Rose', 'Licorice']","['Leather', 'Tonka Bean', 'Patchouli', 'Black Musk']","{'very weak': 50, 'weak': 87, 'moderate': 267, 'long lasting': 294, 'eternal': 104}",,"{'female': 85, 'more female': 61, 'unisex': 38, 'more male': 0, 'male': 0}","{'way overpriced': 2, 'overpriced': 11, 'ok': 73, 'good value': 56, 'great value': 13}",,,,,,,,fall,"{'sweet': 100.0, 'cherry': 84.4442, 'almond': 81.6638, 'nutty': 75.1538, 'leather': 68.8472, 'rose': 61.5815, 'fruity': 61.2763, 'soft spicy': 57.6386, 'animalic': 51.3999, 'patchouli': 46.807900000000004}"
Sì Passione,Giorgio Armani,https://fimgs.net/mdimg/perfume/375x500.48002.jpg,for women,3.75,2306,"fruity , sweet , woody , rose , vanilla , soft spicy , floral , fresh , powdery , citrus ",moderate,"['Pear', 'Black Currant', 'Pink Pepper', 'Grapefruit']","['Rose', 'Pineapple', 'Heliotrope', 'Jasmine']","['Vanilla', 'Cedar', 'Patchouli', 'Amberwood']","{'very weak': 101, 'weak': 145, 'moderate': 307, 'long lasting': 133, 'eternal': 53}",,"{'female': 137, 'more female': 13, 'unisex': 4, 'more male': 0, 'male': 0}","{'way overpriced': 17, 'overpriced': 31, 'ok': 77, 'good value': 9, 'great value': 2}",,,,,,,,spring,"{'fruity': 100.0, 'sweet': 71.7321, 'woody': 55.9421, 'rose': 54.7169, 'vanilla': 54.016, 'soft spicy': 53.5046, 'floral': 48.6246, 'fresh': 47.2359, 'powdery': 45.4552, 'citrus': 44.8192}"
Twilly d’Hermès,Hermès,https://fimgs.net/mdimg/perfume/375x500.46145.jpg,for women,3.67,3445,"white floral , warm spicy , citrus , tuberose , woody , fresh , powdery , animalic , vanilla ",moderate,"['Ginger', 'Bitter Orange', 'Bergamot']","['Tuberose', 'Orange Blossom', 'Jasmine']","['Sandalwood', 'Vanilla']","{'very weak': 64, 'weak': 89, 'moderate': 333, 'long lasting': 335, 'eternal': 147}",,"{'female': 84, 'more female': 37, 'unisex': 33, 'more male': 1, 'male': 1}","{'way overpriced': 3, 'overpriced': 23, 'ok': 68, 'good value': 20, 'great value': 5}",,,,,,,,summer,"{'white floral': 100.0, 'warm spicy': 90.0373, 'citrus': 80.7654, 'tuberose': 77.7796, 'woody': 64.4761, 'fresh': 53.0225, 'powdery': 51.6409, 'animalic': 48.5707, 'vanilla': 44.3531}"
Fleur Musc for Her,Narciso Rodriguez,https://fimgs.net/mdimg/perfume/375x500.42580.jpg,for women,3.99,2712,"rose , floral , musky , fresh , powdery , soft spicy , patchouli ",moderate,['Pink Pepper'],"['Rose', 'Musk', 'Peony']","['Patchouli', 'Violet', 'Amber']","{'very weak': 82, 'weak': 101, 'moderate': 309, 'long lasting': 275, 'eternal': 115}",,"{'female': 124, 'more female': 19, 'unisex': 6, 'more male': 1, 'male': 0}","{'way overpriced': 3, 'overpriced': 23, 'ok': 70, 'good value': 31, 'great value': 5}",,,,,,,,spring and summer,"{'rose': 100.0, 'floral': 91.2429, 'musky': 80.3218, 'fresh': 67.3538, 'powdery': 62.8662, 'soft spicy': 45.8225, 'patchouli': 44.7364}"
Gabrielle,Chanel,https://fimgs.net/mdimg/perfume/375x500.43718.jpg,for women,3.58,4859,"white floral , citrus , woody , sweet , fruity , yellow floral , musky , powdery , tuberose , animalic ",moderate,"['Grapefruit', 'Mandarin Orange', 'Black Currant']","['Orange Blossom', 'Jasmine', 'Ylang-Ylang', 'Tuberose', 'Lily-of-the-Valley', 'Pear', 'Pink Pepper']","['Musk', 'Sandalwood', 'Cashmeran', 'Orris']","{'very weak': 216, 'weak': 246, 'moderate': 515, 'long lasting': 337, 'eternal': 168}",,"{'female': 120, 'more female': 26, 'unisex': 8, 'more male': 0, 'male': 0}","{'way overpriced': 30, 'overpriced': 42, 'ok': 52, 'good value': 9, 'great value': 0}",,,,,,,,summer,"{'white floral': 100.0, 'citrus': 96.3728, 'woody': 59.5493, 'sweet': 55.9998, 'fruity': 53.6549, 'yellow floral': 51.4107, 'musky': 49.832, 'powdery': 48.568, 'tuberose': 47.5929, 'animalic': 45.9084}"
Elysium Pour Homme Parfum Cologne,Roja Dove,https://fimgs.net/mdimg/perfume/375x500.46296.jpg,for men,4.33,1048,"citrus , aromatic , woody , fresh spicy , amber , green , fruity , earthy , animalic ",moderate,"['Grapefruit', 'Lemon', 'Bergamot', 'Lime', 'Thyme', 'Artemisia', 'Galbanum']","['Vetiver', 'Juniper Berries', 'Black Currant', 'Apple', 'Cedar', 'Pink Pepper', 'Rose', 'Jasmine', 'Cypriol Oil or Nagarmotha', 'Lily-of-the-Valley']","['Ambergris', 'Vanilla', 'Benzoin', 'Leather', 'Labdanum']","{'very weak': 62, 'weak': 100, 'moderate': 238, 'long lasting': 166, 'eternal': 70}",,"{'female': 1, 'more female': 1, 'unisex': 17, 'more male': 67, 'male': 77}","{'way overpriced': 89, 'overpriced': 46, 'ok': 25, 'good value': 3, 'great value': 7}",,,,,,,,summer,"{'citrus': 100.0, 'aromatic': 94.1484, 'woody': 76.7285, 'fresh spicy': 65.3083, 'amber': 56.9006, 'green': 52.6469, 'fruity': 52.3265, 'earthy': 49.1831, 'animalic': 45.4552}"
Versace Pour Femme Dylan Blue,Versace,https://fimgs.net/mdimg/perfume/375x500.47459.jpg,for women,3.6,1951,"fruity , floral , green , rose , fresh , woody , sweet ",moderate,"['Granny Smith apple', 'Black Currant', 'Clover', 'Forget me not', 'Shiso']","['Peach', 'Rose Hip', 'Petalia', 'Rose', 'Jasmine']","['Musk', 'White Woods', 'Styrax', 'Patchouli']","{'very weak': 54, 'weak': 115, 'moderate': 245, 'long lasting': 121, 'eternal': 81}",,"{'female': 97, 'more female': 29, 'unisex': 17, 'more male': 2, 'male': 0}","{'way overpriced': 7, 'overpriced': 38, 'ok': 57, 'good value': 21, 'great value': 1}",,,,,,,,summer,"{'fruity': 100.0, 'floral': 85.8998, 'green': 70.2284, 'rose': 66.363, 'fresh': 63.9922, 'woody': 46.9081, 'sweet': 46.7259}"
Miss Dior Eau de Parfum (2017),Christian Dior,https://fimgs.net/mdimg/perfume/375x500.45202.jpg,for women,3.9,1902,"citrus , rose , woody , patchouli , sweet , warm spicy , soft spicy , floral , balsamic ",moderate,"['Pink Pepper', 'Blood Orange', 'Sweet Orange', 'Mandarin Orange', 'Calabrian bergamot', 'Lemon']","['Grasse Rose', 'Damask Rose', 'Jasmine Leaf']","['Patchouli', 'Palisander Rosewood']","{'very weak': 49, 'weak': 54, 'moderate': 180, 'long lasting': 258, 'eternal': 108}",,"{'female': 118, 'more female': 8, 'unisex': 8, 'more male': 0, 'male': 1}","{'way overpriced': 11, 'overpriced': 34, 'ok': 62, 'good value': 6, 'great value': 5}",,,,,,,,spring,"{'citrus': 100.0, 'rose': 67.3695, 'woody': 66.5972, 'patchouli': 56.4446, 'sweet': 51.7007, 'warm spicy': 48.1984, 'soft spicy': 44.8842, 'floral': 44.2952, 'balsamic': 44.1535}"
Psychedelic Love,Initio Parfums Prives,https://fimgs.net/mdimg/perfume/375x500.45977.jpg,for women and men,4.47,774,"powdery , woody , floral , amber , vanilla , yellow floral , warm spicy , sweet , almond , balsamic ",enormous,"['Ylang-Ylang', 'Bergamot']","['Heliotrope', 'Hedione', 'Bulgarian Rose']","['Myrrh', 'Sandalwood']","{'very weak': 27, 'weak': 27, 'moderate': 38, 'long lasting': 98, 'eternal': 270}",,"{'female': 34, 'more female': 26, 'unisex': 51, 'more male': 5, 'male': 3}","{'way overpriced': 13, 'overpriced': 27, 'ok': 23, 'good value': 25, 'great value': 7}",,,,,,,,spring and winter,"{'powdery': 100.0, 'woody': 89.3211, 'floral': 82.5358, 'amber': 74.8344, 'vanilla': 71.8855, 'yellow floral': 70.3681, 'warm spicy': 66.7607, 'sweet': 65.1288, 'almond': 59.9182, 'balsamic': 55.8527}"
Vanille Fatale,Tom Ford,https://fimgs.net/mdimg/perfume/375x500.48029.jpg,for women and men,4.19,1196,"vanilla , warm spicy , sweet , amber , woody , powdery , aromatic , leather , balsamic , tobacco ",moderate,"['Myrrh', 'Rum', 'Olibanum', 'Coriander', 'Saffron', 'Orange', 'Lime']","['Barley', 'Coffee', 'Frangipani', 'Plum', 'Narcissus', 'Rose', 'Artemisia']","['Madagascar Vanilla', 'Suede', 'Mahogany', 'Tobacco', 'Patchouli', 'Oakmoss', 'Violet']","{'very weak': 37, 'weak': 31, 'moderate': 74, 'long lasting': 156, 'eternal': 94}",,"{'female': 11, 'more female': 29, 'unisex': 53, 'more male': 8, 'male': 0}","{'way overpriced': 14, 'overpriced': 40, 'ok': 21, 'good value': 5, 'great value': 1}",,,,,,,,fall and winter,"{'vanilla': 100.0, 'warm spicy': 83.0174, 'sweet': 74.5483, 'amber': 72.8899, 'woody': 70.377, 'powdery': 64.1044, 'aromatic': 61.4839, 'leather': 59.3951, 'balsamic': 58.1114, 'tobacco': 55.8643}"
Insolence Eau de Parfum,Guerlain,https://fimgs.net/mdimg/perfume/375x500.58910.jpg,for women,4.17,466,"powdery , violet , iris ",strong,[],"['Violet', 'Powdery Notes', 'iris', 'Red Berries']",[],"{'very weak': 8, 'weak': 18, 'moderate': 45, 'long lasting': 96, 'eternal': 64}",,"{'female': 93, 'more female': 11, 'unisex': 3, 'more male': 1, 'male': 0}","{'way overpriced': 4, 'overpriced': 13, 'ok': 43, 'good value': 28, 'great value': 9}",,,,,,,,spring,"{'powdery': 100.0, 'violet': 79.4594, 'iris': 57.4579}"
